Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins)
Bakerloo,Southbound,HARROW & WEALDSTONE,KENTON,1.74,2.23,2.5,2.5
Bakerloo,Southbound,KENTON,SOUTH KENTON,1.4,1.88,2,2
Bakerloo,Southbound,SOUTH KENTON,NORTH WEMBLEY,0.9,1.5,1.5,1.5
Bakerloo,Southbound,NORTH WEMBLEY,WEMBLEY CENTRAL,1.27,1.92,2.06,2.06
Bakerloo,Southbound,WEMBLEY CENTRAL,STONEBRIDGE PARK,1.71,2.23,3.12,3.12
Bakerloo,Southbound,STONEBRIDGE PARK,HARLESDEN,1.53,2.13,2.4,2.4
Bakerloo,Southbound,HARLESDEN,WILLESDEN JUNCTION,1.05,1.65,2.23,2.23
Bakerloo,Southbound,WILLESDEN JUNCTION,KENSAL GREEN,1.5,2.47,2.5,2.5
Bakerloo,Southbound,KENSAL GREEN,QUEENS PARK,1.32,2.65,4.72,4.72
Bakerloo,Southbound,QUEENS PARK,KILBURN PARK,0.79,1.42,1.5,1.5
Bakerloo,Southbound,KILBURN PARK,MAIDA VALE,0.88,1.48,2,2
Bakerloo,Southbound,MAIDA VALE,WARWICK AVENUE,0.79,1.5,1.5,1.5
Bakerloo,Southbound,WARWICK AVENUE,PADDINGTON,0.88,1.58,2,2
Bakerloo,Southbound,PADDINGTON,EDGWARE ROAD,0.72,1.57,1.5,1.5
Bakerloo,Southbound,EDGWARE ROAD,MARYLEBONE,0.45,1.12,1.5,1.5
Bakerloo,Southbound,MARYLEBONE,BAKER STREET,0.5,1.17,1.5,1.5
Bakerloo,Southbound,BAKER STREET,REGENTS PARK,0.88,1.68,2,2
Bakerloo,Southbound,REGENTS PARK,OXFORD CIRCUS,0.87,1.85,2,2
Bakerloo,Southbound,OXFORD CIRCUS,PICCADILLY CIRCUS,0.97,1.95,2.48,2.48
Bakerloo,Southbound,PICCADILLY CIRCUS,CHARING CROSS,0.55,1.35,1.5,1.5
Bakerloo,Southbound,CHARING CROSS,EMBANKMENT,0.37,0.95,1.5,1.5
Bakerloo,Southbound,EMBANKMENT,WATERLOO,0.71,1.43,1.5,1.5
Bakerloo,Southbound,WATERLOO,LAMBETH NORTH,0.63,1.45,2,2
Bakerloo,Southbound,LAMBETH NORTH,ELEPHANT & CASTLE,0.82,2.57,2.5,2.5
Bakerloo,Northbound,ELEPHANT & CASTLE,LAMBETH NORTH,0.82,2.13,2,2
Bakerloo,Northbound,LAMBETH NORTH,WATERLOO,0.63,1.45,2.06,2.06
Bakerloo,Northbound,WATERLOO,EMBANKMENT,0.71,1.22,1.5,1.5
Bakerloo,Northbound,EMBANKMENT,CHARING CROSS,0.37,0.97,1,1
Bakerloo,Northbound,CHARING CROSS,PICCADILLY CIRCUS,0.55,1.6,2,2
Bakerloo,Northbound,PICCADILLY CIRCUS,OXFORD CIRCUS,0.97,2.02,2.19,2.19
Bakerloo,Northbound,OXFORD CIRCUS,REGENTS PARK,0.87,1.72,2,2
Bakerloo,Northbound,REGENTS PARK,BAKER STREET,0.88,1.65,2,2
Bakerloo,Northbound,BAKER STREET,MARYLEBONE,0.5,1.08,1.5,1.5
Bakerloo,Northbound,MARYLEBONE,EDGWARE ROAD,0.45,1.08,1,1
Bakerloo,Northbound,EDGWARE ROAD,PADDINGTON,0.72,1.62,2,2
Bakerloo,Northbound,PADDINGTON,WARWICK AVENUE,0.88,1.63,2,2
Bakerloo,Northbound,WARWICK AVENUE,MAIDA VALE,0.79,1.5,1.5,1.5
Bakerloo,Northbound,MAIDA VALE,KILBURN PARK,0.88,1.48,1.5,1.5
Bakerloo,Northbound,KILBURN PARK,QUEENS PARK,0.79,2.1,2.89,2.89
Bakerloo,Northbound,QUEENS PARK,KENSAL GREEN,1.32,2.83,2.72,2.72
Bakerloo,Northbound,KENSAL GREEN,WILLESDEN JUNCTION,1.5,2.53,3.15,3.15
Bakerloo,Northbound,WILLESDEN JUNCTION,HARLESDEN,1.05,1.63,2,2
Bakerloo,Northbound,HARLESDEN,STONEBRIDGE PARK,1.53,2.02,2.53,2.53
Bakerloo,Northbound,STONEBRIDGE PARK,WEMBLEY CENTRAL,1.71,2.42,3.17,3.17
Bakerloo,Northbound,WEMBLEY CENTRAL,NORTH WEMBLEY,1.27,1.95,2,2
Bakerloo,Northbound,NORTH WEMBLEY,SOUTH KENTON,0.9,1.58,1.5,1.5
Bakerloo,Northbound,SOUTH KENTON,KENTON,1.4,2,2,2
Bakerloo,Northbound,KENTON,HARROW & WEALDSTONE,1.74,2.38,3,3
